Bajirri  	[Ba-jirri] nominal. spring water on Mt Pierre Station. Category: Placenames and Country.
ngirriwarndi  	[ngirri-warndi] adverb. across, sideways. Category: describers.  [TC]
ngiwawoo  	[ngiwa-woo] adverb. towards the south. Category: space.  [wb]
ngiwawoongarri  	[ngiwawoo-ngarri] adverb. facing towards the south. Category: space.  [wb]
ngiwayibinyi  	[ngiwayi-binyi] adverb. lying E-W along the southern side. Category: space. Note: wb
ngiyi  	adverb. south. Category: space.  [wb]  [11/Apr/2010]
ngiyidi  	basic pronoun. us (me and others). Category: pronouns.  [TC]
ngiyig-  	[ngi-yig] bivalent verb. swallow. Mayardangga ngiyigbarri nyamani gawi. The pelican swallowed the big fish. See: namoorl. Category: bodily functions.  [TC]
ngoogoo  	[ngoo-goo] nominal. water python. Liasis fuscus. Category: snakes.  [wb]
ngooj-  	bivalet verb. pull out grass, pluck feathers. Gilirni ngoojawila ngarragiya riwi. I'll pull the grass around my camp. . Category: impact and violence.  [TC, DS]
ngoomara  	[ngoo-ma-ra] nominal. woman's granddaughter's husband/partner. Niyaji yoowooloo ngarragi ngoomara, ngarragiyoo jaja ngoombarna. That man is my grandson-in-law, my granddaughter's husband. Category: relations.
ngoomarawa  	[ngooma-ra-wa] nominal. her grandson-in-law. Yoowooloo niyaji ngoomarawa ngirndajiyoo barnanyi, jaja nhooyoo ngoombarna. That man is grandson-in-law for this old woman,her granddaughter's husband. Category: relations.
ngoomarawadi  	[ngooma-ra-wadi] nominal. your granddaughter's husband/partner. Yoowooloo ngirndaji ngoomarawadi, jaja ngaanggiyoo ngoombarna. This man is your grandson-in-law, your granddaughter's husband. Category: relations.
ngoomarayarrangi  	[ngooma-ra-yarra-ngi] nominal. our grandson-in-law. Ngirndaji yoowooloo ngoomarayarrangi. This man is our grandson-in-law. Category: relations.
ngoomari  	[ngoo-mari] nominal. sugarleaf found on river red gums. An edible white sugary substance, or lerp, found on the leaves of coolibah trees.  It is made by insects of the Glycaspis genus. It is available during the hot/dry season. Category: bush food.  [wb, JS, LC]
ngoombarna  	[ngoom-barna] nominal. husband. Category: relations.  [wk,mq]
ngoombarnalangoo  	[ngoombarna-langoo] nominal. husband and wife pair. Category: relations.
ngoombarnawa  	[ngoom-barna-wa] nominal. her husband. Category: relations.
ngoombarnawadi  	[goombarna-wadi] nominal. your husband. Category: relations.
ngoombarnayarrangi  	[ngoom-barna] nominal. our husband. niyaji yoowooloo ngoombarnayarrangi thirrgirli. That man is our husband, he is straight to us.
ngoombarnayarrangi  	[ngoombarna-yarrangi] nominal. our husband straight skin. niyaji yoowooloo ngoombarnayarrangi thirrgirli. that man is our straight skin husband. Category: relations.
ngoomoorroo  	[ngoomoo-rroo] nominal. cloud. Category: elements.  [mq, SL]
ngoongoo-  	[ngoo-ngoo] verb. rumble (of thunder). Ngiwawoo gamba ngoongoori. The storm is rumbling to the south. Category: elements.  [MS, JS]
ngooni  	[ngoo-ni] nominal. short fighting spear. Category: artifacts.  [wb]
ngoonyiya  	[ngoonyi-ya] determiner. where? Ngoonyiya wardginggi? Where did you go? Category: questions.
ngoonyiyangarraya  	[ngoonyiya-ngarraya] nominal. anywhere, wherever. Category: describers.
ngoonyjara  	[ngoony-jara] nominal. a snack. Yaningimi ngoonyjara ngabjawarra ? Are we havig snacks now.? Category: food.  [JS]
ngoonyjoo  	[ngoony-joo] nominal. tobacco mix with ashes. Category: artifacts.  [mq]
ngoonyjoongoonyjoo  	[ngoony-joo-ngoony-joo] nominal. beard, moustache. See: thawooroo. Category: body parts and products.  [mq]
ngoonyoo  	[ngoo-nyoo] nominal. which one? Ngoonyoo maa dooya? Which meat did you get? Category: questions.  [FGG 147]
ngoonyoongarna  	[ngoo-nyoo-ngarna] detrminer. where from? Category: questions.
ngoorloog-  	[ngoorl-oog] bivalent verb. drink. Yoowooloongga gamba ngoorloognga yamadinhingi The man was drinking water from a coolaman. Category: actions.
ngoorndoo  	[ngoorn-doo] determiner. who? Ngoorndoo niyaji goornboo? Who is that woman? Category: questions.  [FGG, 147]
ngoorndoongarraya  	[ngoorndoo-ngarraya] nominal. whoever. ngoorndoongarraya wardmayi baboorroonggoo warlibirriyirra yaningi. did anyone go down to the river today. Category: questions.
ngoorndoongoonoo  	[ngoorndoo-ngoonoo] determiner. what's his name? This word is used when a speaker hesitates, trying to find the right word. Note: hesitation mark Category: Language.  [FGG 148]
ngoorndoongoonoo  	[ngoorn-doo-ngoo-noo] nominal. whats his name. Ngoorndoongoonoo wardji warlibirribinyi. Whats his name went along the river. Category: questions.
ngooroondoo  	[ngooroon-doo] nominal. flesh of certain bush fruit,  soft centre of damper or bread. Category: food.  [SL, JS]
ngooroongooroo  	[ngooroo-ngooroo] nominal. ant-like insect with a large head. Category: insects and spiders.  [TC, RC]
ngoorriya  	[ngoorri-ya] determiner. over there. Category: space.
ngoorrngoorrmili  	[ngoorr-ngoorr-mili] nominal. pig. Sus scrofa. Category: introduced animals.  [GW]
ngoorroo  	[ngoo-rroo] determiner. that one over there. Category: describers.  [FGG 144]
ngoorroobinyi  	[ngoorro-binyi] determiner. that side. Category: describers.  [wb]
nhar-  	bivalent verb. piss, urinate. Goornbooga yilaa nharmi walyarraya. The woman urinated in the sand. Category: bodily functions.  [TC, DS]
nharnbirri-  	[nharn-birri] verb. sit crosslegged. Category: posture.  [TC, SL]
-nhi  	suffix. him, her. Category: suffixes.  [wk]
-nhingi  	suffix. from, after, because of. Banda nanggananggayi yiwindinhingi. The ground was spotted because of rain. Category: suffixes.  [TC, DS, WM, McG sketch grammar]
nhiyi  	[nhi-yi] basic pronoun. he, him, she, her, it. Category: pronouns.  [FGG]
nhoony  	[nhoo-ny] nominal. bent over. Category: describers.
nhoowoo  	[nhoo-woo] possessive pronoun. his, hers, its. Category: pronouns.  [wk]
nimin-  	[ni-min] ambivalent verb. stitch, mend, sew. Lirri niminma maa wanyjirri! Stitch up the river kangaroo guts! After it has been gutted the kangaroo is sewn up and cooked whole in a ground oven. Category: impact and violence.  [TC, DS]
ninanina  	[nina-nina] nominal. sacred ibis,  also known as whiter ibis,  black necked ibis,  sickle bird. Threskiornis aethiopica. Category: birds.  [SL, RC, S&D 96]
nird-  	verb. get stuck, get caught. Joorndoo nirdbani ngarragi giriliya. My fishing line got caught on the snag. Category: actions.  [TC, DS]
nirij  	[ni-rij] nominal. pinch. biyirdi nirijma niyaji goornboo. pinch that woman on the leg.
nirnig-  	[nir-nig] monovalent verb. shiver. Marlara nirnigji maadi The girl was shivering, from the cold. Category: actions.  [MS, TC]
niyaji  	[niya-ji] determiner. that one. Category: describers.  [wk, FGG]
niyi  	determiner. that. Niyi girili ngangbidi. Give me that stick. Category: describers.  [FGG 144]
nood-  	monovalent verb. bid farewell. Category: speaking and thought.
noonaj-  	[noo-naj] verb. nod. Category: actions.  [TC]
noorangarri  	[noora-ngarri] nominal. striped or small green caterpillar. Category: insects and spiders.  [wb]
noorna  	nominal. bold, confident. Noorna yanga wardginggiri maa doowya ngarragi. You're bold to come and take my meat. Category: people.  [FGG]
noorroorroo  	[noorroo-rroo] nominal. reliable, trustworthy. Category: people.  [TC]
nyaadi  	[nyaa-di] nominal. bush onion-wild arrowroot. Crinum asiaticum. Looks like an onion, the leaves grow in the wet season.  The edible bulb has to be repeatedly roasted and crushed to get rid of its rubbery texture. There is a dreamtime story explaining this bulb's bitter taste. Category: bush food.  [Broome and Beyond 227 / changed by Glenn Wightman,wk]
nyaanybadi  	[nyaany-badi] nominal. your uncle/your mother's brother. Ngoonyiya wardji ngaanybadi? Where did your uncle go? Category: relations.
nyaanyi  	[nyaa-nyi] nominal. uncle/mother's brother.. Category: relations.  [wk]
nyaanyilangoo  	[nyaa-nyi-la-ngoo] nominal. uncle/nephew  uncle/niece pair. niyajiyoorroo yoowooloo gambayi nyaanyilangoo. that two a man and a boy are uncle and nephew pair. Category: relations.
nyaanyiwa  	[nyaani-wa] nominal. his/her uncle [ his/her mother's brother]. Category: relations.
nyaanyiyarrangi  	[nyaa-nyi-yarrangi] nominal. our uncle/our mother's brother. Category: relations.
nyag  	verb. spear, pierce. Yoowoolooyarndiga nyagbirrirni walwarrangga. The men speared the crocodile. Category: actions.
nyagoona  	[nya-goona] nominal. sleepy cod. oxyeleotris lineolatus. Category: fish.
nyalalanggarra  	[nyalalang-garra] nominal. a large male goanna. Category: lizards.  [wb]
nyamani  	[nya-mani] nominal. big, large, important, significant. Category: quantifiers.  [wb]
nyambi  	[nyam-bi] nominal. bundle of hair. See: yambarra. Category: body parts and products.  [wk]
nyanggi  	[nyang-gi] nominal. lice,   lice grass. Pediculus humanus. The seeds from this grass-like plant look like lice. They are often bitten betwwen the teeth just for fun. this meaning has been extended to include grass of the Cyperus genus which also have similar seeds to lice.. Category: insects and spiders.  [wb]
nyanggingabmili  	[nyang-gi- ngab-mili] nominal. eyeless snake. Ramphotyphlops grypus. Category: snakes.  [JS, SL]
nyaninyi  	[nyani-nyi] nominal. vagina. Category: body parts and products.  [mq]
nyanyam  	[nya-nyam] ambivalent verb. whisper. Malarangga nyanyami nhi ngarranyiwayoo. The little girl whispered to her mother. Category: speaking and thought.  [TC, DS]
nyanyboo  	[nyany-boo] nominal. little burrowing sand frog. various taxa. Category: frogs.  [JS, SL, Reptiles and Amphibians 138]
nyanyjili  	[nyany-jili] nominal. a skin group, female subdivision of one of the eight subsections into which Gooniyandi society is divided. Category: skin groups.  [wb]
nyarla  	nominal. gum from Marndarra. Terminalia platyphylla. The old name for the gum of this large shady tree. Category: old language.  [SL, RC]
nyarlangarri  	[nyarla-ngarri] nominal. king brown snake. Pseudechis australis. Category: snakes.  [LC, Reptiles and Amphibians 664]
nyarlgoo  	[nyarl-goo] nominal. bilby. Macrotis lagotis. can be eaten. Category: animals.  [GW]
nyarlool-  	[nyarl-ool] monovalent verb. shed skin. Joongoorrangga nyarloolmani. The olive python shed its skin. Category: snakes.  [SL, RC]
nyarlooloo  	[nyarloo-loo] nominal. snake skin. Nyarlangarri nhingi nyarlooloo gilbawidi goorrgooya. They found a skin of a king brown snake in a hole. Category: snakes.  [SL]
nyarna  	nominal. deep water. Category: Land.  [RC]
nyawa  	[nya-wa] nominal. animal  tail. Category: animals.  [wk, mq]
nyawajarri  	[nyawa-jarri] nominal. a skin group, female subdivision of one of the eight subsections into which Gooniyandi society is divided. Category: skin groups.  [wb]
nyawana  	[nyawa-na] nominal. a skin group, female subdivision of one of the eight subsections into which Gooniyandi society is divided. Category: skin groups.  [wb]
nyawooroo  	[nya-woorroo] nominal. a skin group, female subdivision of one of the eight subsections into which Gooniyandi society is divided. Category: skin groups.  [wk]
nyilyimboo  	[nyilim-boo] nominal. common mouse, house pest. Zyzomys argurus. Category: animals.  [JS, Mimbi species list]
nyimandi  	[nyim-andi] nominal lawal. small green pygmy-goose. Nettapus pulchellus. Category: birds.  [wb]
nyimarrangga  	[nyi-marrang-ga] nominal. rain storm coming from the west. Nyimarrangga is associated with jawalyi and janggardi skin groups, and connected to the Goonyboorrgoo rain song. Category: elements.  [SL]
nyimij  	[nyi-mij] verb. blink, wink. Moorloo nyimijbinmi garndiwanyali dilingga doowina. They all blinked their eyes when the bright light shone on them.. Category: bodily functions.  [TC]
nyimininy  	[nyimi-niny] monovalent verb. go underwater. Yoowooloo nyimininybani baboorroo warlibirriya. The man went underwater in the river and drowned. Category: actions.  [TC, DS]
nyin  	verb. forget, lose. Joorndoo nyinlimi ngila Danggooya. I forgot my fishing lines at Geikie Gorge. Category: speaking and thought.  [TC, DS]
nyinginyingi  	[nyingi nyingi] nominal. filthy dirty and wet. Note: This is the uncomfortable feeling of being dirty and sweaty and in need of a shower. Gampayi bijngarni nyinginyingi galamanda ngarri. The boy came in filthy, dirty,  covered in mud. Category: describers.  [NS, SL]
nyinyi  	[nyi-nyi] nominal. zebra finches. Taeniopygia guttata. general word for finches. Category: birds.  [WK, SL, RC, Mimbi species list S&D 266, 268]
nyinyjoowiri  	[nyiny-joowiri] nominal. wet through, soaking wet. Yoowarni gambayi nyinjiwoori bijngarni, yiwirndinhingi One  boy came in soaking wet from the rain. Category: describers.  [wb]
nyirlim  	bivalent verb. peel something off. Jarrja nyirlimbirra thirrwi moorlanhini nyawa. They peeled the skin off the cooked kangaroo tail. Category: actions.  [TC RC NC]
nyirlinyirli  	[nyirli-nyirli] nominal. mistletoe. Lysiana spathulata. Category: plants.  [NS, SL, MS, Mimbi species list, GW identified the plant only]
nyooly  	[nyoo-ly] nominal. squeeze. jalngangoorroongga nyoolymingarragi miyooroo. the Doctor squeezed my boil. Category: holding and transfer.
nyoomboorl  	[nyoom-boorl] ambivalent verb. bathe wash. swim. Nganyi ngamoo nyoomboorl ngani. I already had a bath. Mawilyi nyoomboorlwirri gambaya. The children were swimming in the water. Category: motion.  [LC, TC, DS]
nyoomoo  	[nyoo-moo] nominal. breastmilk. Category: body parts and products.  [LC]
nyoon  	bivalent verb. rub. Yoowooloongga nyoonmani garladi ngarringa The man rubbed himself with white ochre. Category: actions.  [TC, DS]
nyoong  	nominal. nod off to sleep. Gambayi lambardi mooyoo nyoongji The little boy was nodding off to sleep. Category: describers.
nyoongoorn  	[nyoo-ngoorn] verb. move (something)  or move around. Yoowooloongga nyoongoornjingi nyamani girili. The man moved the big tree.. Category: actions.
nyoony  	verb. sneeze with cold sick. Nyoonyma goonggoodoo wajbarri. Sneeze and get that snot out. Category: bodily functions.
nyoorloorn  	[nyoorl-oorn] monovalent verb. cramp. Nganyi nyoorloornloondoo ngarragi marla. I got cramp on my hands. Category: bodily functions.
nyoorroongoo  	[nyoorroo-ngoo] nominal. water rat, platypus. Hydromys chrysogaster. Category: water animals.  [MS, SL, RC, Mammals of Australia 628]
R  -  r
Riwi  	nominal. Country   home,   camp. Nganyi wardngiri ngarragiyirra riwi. I'm going home to my camp. Category: home.  [wk, SL, mq]
Roorroojboo  	[Roo-rrooj-boo] nominal. Me No Savy waterhole on Louisa Downs Station. Category: Placenames and Country.  [MS, JD]
raboorrooj  	[ra-boorrooj] verb. take all the stuff from the camp. Goornbooga raboorroojmi boojoonyali nhoo boolba riwinhingi The woman took all of  her belongings from the camp.  [TC] Category: actions.
raj-  	verb. become short of breath. Gambayi rajbindi ngayirla girragirra nhingi The boy got short of breath from running. Category: bodily functions.  [MS, TC]
ramboorra  	[ram-boorra] nominal. lightweight. Ngarragi yamadi ramboorrayanga girili jirndiwili nhingi My coolaman is so light from the batwing tree. The meaning of this word has been extended to include a fishing or mosquito net. Category: qualities.  [wk, SL]
ran-  	monovalent verb. clear up (of rain clouds, dust, smoke). Yiwirndi ranbindi. The rain cleared up. Category: motion.  [TC]
rangarranyi-  	[rangarr-anyi] monovalent verb. become light, dawn. Ngamoo rangarranyiwari thithi wardbarra gawirlayanyali. It's already getting light let's go while it's cool. Category: elements.  [TC]
ranggadi  	[rang-gadi] nominal. light, pale. Category: describers.
rarriny-  	[ra-rriny] monovalent verb. hanging from a branch. Giyinyma rarrinygiyi goorroombaya girili. The flying fox was hanging in a paperbark tree. Category: posture.  [TC]
rawool  	[ra-wool] nominal. have goose bumps. Maningga wardjangi moongaya nganyi rawoollimi. Last night when I was walking in the dark, I had goose bumps. Category: motion.
riminy-  	[ri-miny] ambivalent verb. pull out guts. Maa wanyjirri riminybini yoowooloongga. The man pulled out the guts of the kangaroo. Category: impact and violence.  [TC]
ringag  	[ring-ag] nominal. hiccup. Gambayi lambardi ringagji. The little boy had a hiccup. Category: people.
riny-2  	monovalent verb. 1 • get rid of things. Nganyingga rinylimi garndiwa girili ngirndaji nhingi I got rid of  lot of the trees from here. Category: actions.
2 • blow (of) wind. Girngali maadi rinygiri ngilmangi. A cold wind is blowing from the east. This verb can only be used in the singular. Category: elements.  [TC]
rinyi  	nominal. sideways talk. Category: old language.
rirr-  	bivalent verb. pull, drag net in the water. Goornboo garndiwirringga rirrwirrayoo ramboorra gawi doowarniwoo The two women were dragging the net to catch fish. Category: actions.  [TC]
rirrig-  	ambivalent verb. move, shift. Goornbooyarndi rirrigbinmi ngirndajinhingi ngandawi yaanyayirra. The women moved from this shade to another. Category: motion.  [TC]
riwingarri  	[riwi-ngarri] nominal. menstruation. Category: bodily functions.
-rni  	enclitic. next, then. Gambarni ngoorloogla thithi nhingingga. I then drank some water after walking around. Category: suffixes.  [TC, DS, FGG 605]
roogoony-  	monovalent verb. staying, Joornanygarrami roogoonygoorroo Are they OK? lit: sitting well. Usage: avoidance language. Category: old language.  [RC, SL]
roony-  	ambivalent verb. suck. Gamba roonyjawilimi gilirni ngarringga. I'll suck the water through the (hollow) grass (stalk). Category: bodily functions.  [MS, SL]
roorr-  	monovalent verb. slide down. Gambayi roorrwani baboorroonggoo ngalangalaya. The boy slid down the steep bank. Category: motion.  [wk, LC, TC]
roorroob-  	ambivalent verb. pull out. Yoowooloongga roorroobmi wawanyi nyawayangga. The man pulled the goanna out by the tail. Category: holding and transfer.  [TC]
roorrooj-  	[roo-rroj] bivalent verb. growl at,   tell off ,  abuse. Mawilyi roorroojbina marlngarringga The white man was  growling at the kids. Category: actions.  [wk, LC, TC]
roowa  	nominal. going hunting. Goornbooyarndi wardbirri roowa wawanyi binyi, The women went hunting for goanna. Category: describers.  [wk, LC]
roowoo  	[roo-woo] nominal. faeces, shit. Category: bodily functions.  [wk, mq]
rooyoo  	[roo-yoo] nominal. tonsils. Category: body parts and products.  [RC]
T  -  t
Thalarrwarn  	[Thalarr-warn] nominal. Birdwood  bore water hole on the Garloo section of the Fitzroy River on GoGo Station. Category: Placenames and Country.
Thangarndiya  	[Thangarn-diya] nominal. Mt Ball  on the Margaret river on Fossil Downs Station. Category: Placenames and Country.
Tharnayiwali  	[Tharnayi-wali] nominal. Out camp creek  on GoGo Station. Category: Placenames and Country.  [TC]
Tharnngali  	[Tharn-ngali] nominal. junction of Mt Pierre creek and Margaret River on Gogo Station. Category: Placenames and Country.  [TC, ET]
Tharriyarriwa  	[Tharri-yarriwa] nominal. springwater on Fossil Downs Station. Category: Placenames and Country.  [BC]
Tharroomba  	[Tharroom-ba] nominal. Cabbage Creek on Fossil Downs station. Category: Placenames and Country.  [McGregor]
Thawoonoo  	[Tha-woonoo] nominal. Old crossing going towards Giekie Gorge on Anna branch and  Margaret river junction on Fossil Downs Station. Category: Placenames and Country.  [JD]
Thawoorrooga  	[Tha-woorrooga] nominal. hills of black-coloured granite on Mt Pierre Station. Category: Placenames and Country.  [TC, RC]
Thilimbi  	[Thilim-bi] nominal. No 1 bore on GoGo Station. Category: Placenames and Country.  [TC]
Thindindingarri  	[Thin-dindi-ngarri] nominal. placename. Thindindingarri gamba Ngardajanhingi Garnayirrinhingi bilija. Thindindingarri waterhole is between Anna branch and the old crossing to Geiki on the Margaret River.
Thirndaroo  	[Thinda-roo] nominal. spring on Fossil Downs Station. Category: Placenames and Country.  [JD]
Thoomooniya  	[Thoo-moo-niya] nominal. water hole on the Margaret River. Thoomooniya gamba Mayalnga Warlibirriya. Thoomooniya water hole is on the Margaret River.
Thoonanyi  	[Thoona-nyi] nominal. place on Louisa Downs Station. Category: Placenames and Country.  [MS]
Thoongoonymi  	[Thoo-ngoony-mi] nominal. billabong on Mt Pierre Station. Category: Placenames and Country.
thaalali  	[Thaa-lali] nominal. honey from the native bee, found in paperbark trees, sugarbag. Thaalali ngalinya bagiri goorroomba winthawoorrooya. Sugarbag honey is found in the bark of the paperbark tree. Category: bush food.  [TC]
thaanoogoo  	[thaa-noo-goo] adverb. (moving) upwards, moving up to. See: babirnali. Category: space.  [wb]
thaarri  	[thaa-rri] particle. thought, idea, belief. Thaarri ngamoo wardginggirriyoo. I thought you two had already gone. Category: speaking and thought.  [TC]
thad-  	monovalent verb. stop, come to a stand still. Nganyi wardngi ngandawiya thadnganyi I went and stopped at the shade.. Category: actions.  [TC]
thalanyi  	nominal. tongue. Category: body parts and products.  [wk]
thalig-  	ambivalent verb. poised ready to throw a spear. Yoowooloongga thaligmi jirnali wanyjirriyoo nyagboowoo. The man poised the spear ready to spear the kangaroo.. . A spear is hooked up to a spear-thrower before being launched. Category: impact and violence.  [TC]
thalinggi  	[thaling-gi] nominal. not sweet. Category: describers.
thalngadi  	[thal-ngadi] nominal. snappy gum. Eucalyptus brevifolia. provides sugarbag and firewood. Category: trees.  [wb, Plants of the Kimberley 179]
thamagoomagoo  	[thama-goo-ma-goo] nominal. speech impediment, unclear speech. Category: describers.  [TC]
thamalg-  	verb. beg. Goornbooga thamalgnga yoowooloo warlibirriyirra wardgoo yamadingarri. The woman begged the man to take her to the river in the car. Category: speaking and thought.  [TC]
thamarda  	nominal. blunt, deaf ears. Ngarragi jamayina thamarda girili gajgoo ngalinyayoo My axe is blunt to cut trees for honey. Ngarragi man-ga thamarda, marlami thanymilila jajingarraya. I'm deaf ears and I can't hear anything. Category: describers.  [wk, wb, LC]
thamarli  	nominal. mouth almighty. Glossamia aprion. Known as barramundi's brother (barlgamarnaway) because it looks similar to a barramundi. Category: fish.  [RC, KLC Fish poster]
thamba-  	[tham-ba] monovalent verb. hold out one's hand. Gambayi marla thambayi manyiyoo. The boy held out his hand for food. Category: actions.  [TC]
thamboong-  	[tham-boong] verb. stick out, exposed. Wawanyi nyawa thamboongji langgagoolooya. The goanna's tail was sticking out of the hollow log. Ngawaya thamboongbirri garndoowa galamandaya. There were a lot of mussels exposed in the mud. Category: describers.  [TC]
thamindi  	nominal. lode of ore, bedrock surrounding. Category: Land.  [TC]
thandoorla-  	[than-doorla] bivalent verb. carry on hip. Ngarranyiwangga thandoorlanga gambayi. The mother carried her son on her hip. Category: holding and transfer.  [SL, RC]
thangal  	[thang-al] nominal. light appearing from nowhere in the distant. Category: describers.  [TC]
thangarla  	[thang-arla] nominal. foam, froth. Thangarla nyamini wardga warrambaga. The floodwater is bringing big foam.. Category: Land.  [RC, JD]
thangarndi2  	[thangarn-di] nominal. 1 • mouth. Ngarragi thangarndi mirndirrmi ngarragi mardinhingi. My mouth has dried up from the cold.. Category: body parts and products.
2 • message/language. Nganyingga thangarndi balalinhi liyani Broomejirra ngarragiyoo jaja. I sent word west to Broome to my granny. Category: speaking and thought.  [mq]
thanggal-  	[thang-gal] verb. be sick (food poisoning). Maa yijgawoo thanggalyingi. He got sick from eating bad meat. Category: bodily functions.  [TC]
thanggari  	[Thang-gari] nominal. waterlily flower. Nymphaea gigantea. This is the flower of garringarri of which seeds, stems and roots are edible.  The fruit and roots are roasted. Stems are peeled and eaten raw. Category: bush food.  [DS, SL]
thanymili-  	[thany-mili] bivalent verb. listen, hear, heard. Nganyingga thanymilila tharra roongji babirri warlibirriya. I heard the dog barking down at the river. Category: actions.  [LC, NC, TC]
tharidi  	[tha-ridi] nominal. heavy. Jiginya jooloojla yamadiya tharidi. I carried a child in the coolaman - very heavy. Category: describers.  [wb]
tharidingarri  	[tharidi-ngarri] nominal. pregnant, carring a heavy load. Goornboo niyaji tharidingarri. That woman is heavily pregnant. Category: describers.  [wb]
tharliya  	[tharl-iya] nominal. semen. Category: bodily functions.  [mq]
tharnbooloo  	[tharn-booloo] nominal. a small frog, mother of marraa. Category: frogs.  [RC, SL, Reptiles and Amphibians 143, maybe Litoria meiriana]
tharngal-  	[than-gal] verb. split in half. Tharngalwoo maa gooji biliga. Split that bone in half. Category: impact and violence.  [TC]
tharr-  	verb. stood. Yoowoolooyarndi tharrwirrani laandiwali ngalangalaya. All the men stood on the top bank of the river. Only used for a group. Category: motion.  [TC]
tharra  	nominal. dog. Canis familiaris. Category: dogs.  [wk, mq]
tharrmarla  	[tharr-marla] nominal. bare hand,  nothing in hand. Category: body parts and products.  [TC]
thawarlarrji  	[thawarl-arrji] nominal. talkative person. Category: describers.  [TC]
thawooroo  	[thaa-woo-roo] nominal. beard,  moustache. boolgangga warangga girrabingarri thawooroo. the old man has long beard. See: ngoonyjoongoonyjoo. Category: body parts and products.
thawoorr-  	[tha-woorr] bivalent verb. pour water over. Girili ngarragi thawoorryawila gambangarringga. I will water my trees with water. Category: motion.  [TC]
thayad-  	[tha-yad] monovalent verb. walk about. Boogayarndi thayadbirri gambabinyi. The children were walking along the side of the water. Category: actions.  [TC]
thibaj-  	[thi-baj] bivalent verb. knock  over. Girngalingga thibajbarri girili nyamani. The wind knocked over the big tree. Category: impact and violence.  [TC]
thigi-  	[thi-gi] monovalent verb. short. Gilirni thiginyali bagiri, marlami girrabiwindi The grass is still short, it didn't grow longer. Category: describers.  [TC]
thila  	nominal. flank. Category: body parts and products.  [FGG 38, RC]
thiladi  	[thil-adi] nominal. bedding, swag. Thiladi thilarrwa ngarragi ngandawiya. Put my swag under the shade. Category: artifacts.  [TC]
thilarr-  	[thil-arr] ambivalent verb. spread out flat. Goorroomba thilarryingi bandaya milawoo. He spread the paper out on the ground to have a look. Category: holding and transfer.  [TC, RC]
thiligi  	[thil-igi] nominal. tawny frogmouth. Podargus strigoides. Category: birds.  [SL, RC, Mimbi species list, mq, S&D 154]
thilinyja  	[thiliny-ja] nominal. water grass. Cyperus sp.. Category: plants.  [PM]
thin.girl-  	[thin-girl] verb. go into water. Tharra thin.girlwani gambaya. The dog got into the water. Category: motion.  [TC]
thinbidi  	nominal. Prince Regent hardyhead. Craterocephalus lentiginosus. Category: fish.  [RC, KLC fish poster]
thinbiriwiri  	[thinbiri-wiri] nominal. emu apple. Owenia vernico. Category: plants.  [SL, JS, RC, Plants of the Kimberley 224]
thing-  	verb. stop, cease. Gamba yilijnhingi thingbindi. It has stopped raining. refers to rain, water flow, wind, weather. Category: actions.  [TC]
thinga  	nominal. foot, footprint. See: jarrgambirri. Category: body parts and products.  [wk, LC, mq]
thirig-  	[thi-rig] ambivalent verb. bury, cover up . Yoowooloo ngawoornga thirigbidi bandaya. They buried the dead man in the ground. Category: actions.  [SS, TC, MS]
thirraj-  	[thirr-aj] ambivalent verb. push out, give birth. Boorloomaningga thirrajjingi joogoo. The cow gave birth to the calf. Can refer also to passing faeces. Category: motion.  [TC]
thirraj  	[thirr-aj] verb. give birth to baby also to make poo. Category: actions.
thirrb-  	verb. swoop and snatch. Dirdigoorlangga thirrbngarni barlga gambanhingi. The big eagle swooped and snatched a barramundi from the water. Category: motion.  [SL]
thirrgirli-2  	[Thirr-girli] ambivalent verb. correct,  right,  straight (eg a spear).
1 • walking straight in the dark. Maningga wardjirri thirrgirlinyali dili marlami. Last night we went straight without no light. Usage: The meaning of this word has been extended to include 'straightening' or correcting language use or straighting of a spear or road directions.. Category: motion.
2 • sraightening spear. Yoowooloongga thirrgirlyingi nhoo jirnali wayandiya. The man straightened his spear on a fire. Category: actions.  [TC, wbs]
thirri-  	monovalent verb. get angry, fight. Ngoorndooyarndiga thirriroorroojgoorrani. Who are the  people growling at each other. Category: speaking and thought.  [TC, FGG 598]
thirrib-  	[thirr-ib] verb. scoop out. Goornbooga thirribngarni gamba winyjaroo nhingi. The woman scooped out the water from the soak... Category: holding and transfer.
thirrimili  	[thirri-mili] nominal. burning, stinging, cheeky one, one who looks for fight with anyone. Category: describers.  [SL]
thirrird-  	[thirr-ird] verb. winnow, separate. Goornbooyarndiga thirrirdbirra joomboowa yamadiya The women were winnowing joomboowa seeds on a coolamon. . Category: actions.  [LC]
thirrirli  	[thirr-rli] adverb. hard. Gardboo niyaji tharra thirrirli. Hit that dog hard.  [JD]
thirrwi  	[thirr-wi] nominal. hill kangaroo. Macropus robustus, Macropus rufus. Yoowooloongga nyagbini thirrwi nyamanyi The man speared a big hill kangaroo. Category: kangaroos.  [MS, JS, mq, Mammals of Australia, 347, 354, Mimbi species list, GW]
thithi  	[thi-thi] nominal. going away, walking. Thithi wardmanggiri warlibirriyirra yaningi Are you  going to the river today? Category: motion.  [LC, SL]
thiwa  	[thi-wa] nominal. red. Category: colours.  [wb]
